"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
1,1125,0.06394706
1,1140,0.06309004
1,1155,0.06225466
1,1170,0.06143964
1,1185,0.06064375
1,1200,0.05986589
1,1215,0.05910497
1,1230,0.05835999
1,1245,0.05763003
1,1260,0.0569142
1,1275,0.05621167
1,1290,0.05552169
1,1305,0.05484352
1,1320,0.0541765
1,1335,0.05352
1,1350,0.05287343
1,1365,0.05223626
1,1380,0.05160798
1,1395,0.05098812
1,1410,0.05037623
1,1425,0.04977192
1,1440,0.04917482
1,1455,0.04858458
1,1470,0.04800088
1,1485,0.04742342
1,1500,0.04685194
1,1515,0.0462862
1,1530,0.04572595
1,1545,0.045171
1,1560,0.04462115
1,1575,0.04407624
1,1590,0.0435361
1,1605,0.0430006
1,1620,0.04246961
1,1635,0.041943
1,1650,0.04142069
1,1665,0.04090257
1,1680,0.04038856
1,1695,0.0398786
1,1710,0.03937261
1,1725,0.03887055
1,1740,0.03837236
1,1755,0.03787801
1,1770,0.03738746
1,1785,0.03690068
1,1800,0.03641765
1,1815,0.03593834
1,1830,0.03546275
1,1845,0.03499086
1,1860,0.03452267
1,1875,0.03405816
1,1890,0.03359735
1,1905,0.03314023
1,1920,0.03268681
2,0,0
2,3,2.470879E-06
2,6,9.108042E-05
2,9,0.000585134
2,12,0.002012441
2,15,0.004988779
2,18,0.01008847
2,21,0.01775301
2,24,0.02824504
2,27,0.04163615
2,30,0.0578177
2,33,0.07652759
2,36,0.09738689
2,39,0.1199398
2,42,0.1436899
2,45,0.1681317
2,48,0.1927751
2,51,0.2171638
2,54,0.2408883
2,57,0.2635944
2,60,0.2849873
2,63,0.3048327
2,66,0.3229549
2,69,0.3392328
2,72,0.3535959
2,75,0.3660183
2,78,0.3765126
2,81,0.3851236
2,84,0.3919225
2,87,0.3970015
2,90,0.400468
2,93,0.4024406
2,96,0.4030446
2,99,0.4024085
2,102,0.4006617
2,105,0.3979312
2,108,0.3943402
2,111,0.3900063
2,114,0.3850408
2,117,0.3795477
2,120,0.3736228
2,135,0.3403203
2,150,0.3061407
2,165,0.2751613
2,180,0.248806
2,195,0.2270668
2,210,0.2093209
2,225,0.1947878
2,240,0.1827437
2,255,0.172597
2,270,0.1638957
2,285,0.1563073
2,300,0.1495919
2,315,0.1435772
2,330,0.1381387
2,345,0.1331851
2,360,0.128648
2,375,0.1244748
2,390,0.1206237
2,405,0.1170607
2,420,0.1137575
2,435,0.1106896
2,450,0.107836
2,465,0.1051778
2,480,0.1026984
2,495,0.1003827
2,510,0.098217
2,525,0.09618897
2,540,0.09428725
2,555,0.09250149
2,570,0.09082223
2,585,0.08924083
2,600,0.08774941
2,615,0.08634077
2,630,0.08500836
2,645,0.08374621
2,660,0.0825489
2,675,0.08141147
2,690,0.08032945
2,705,0.07929871
2,720,0.07831551
2,735,0.0773764
2,750,0.0764782
2,765,0.07561797
2,780,0.07479297
2,795,0.07400067
2,810,0.07323867
2,825,0.07250471
2,840,0.07179666
2,855,0.07111255
2,870,0.0704505
2,885,0.06980869
2,900,0.06918544
2,915,0.06857917
2,930,0.06798837
2,945,0.06741162
2,960,0.06684759
2,975,0.06629502
2,990,0.06575275
2,1005,0.06521969
2,1020,0.0646948
2,1035,0.06417714
2,1050,0.06366583
2,1065,0.06316005
2,1080,0.06265906
2,1095,0.06216216
2,1110,0.06166871
2,1125,0.06117814
2,1140,0.06068991
2,1155,0.06020354
2,1170,0.05971862
2,1185,0.05923473
2,1200,0.05875155
2,1215,0.05826875
2,1230,0.05778607
2,1245,0.05730327
2,1260,0.05682014
2,1275,0.0563365
2,1290,0.05585221
2,1305,0.05536715
2,1320,0.05488121
2,1335,0.05439433
2,1350,0.05390645
2,1365,0.05341753
2,1380,0.05292755
2,1395,0.05243652
2,1410,0.05194445
2,1425,0.05145136
2,1440,0.0509573
2,1455,0.05046232
2,1470,0.04996648
2,1485,0.04946984
2,1500,0.0489725
2,1515,0.04847454
2,1530,0.04797605
2,1545,0.04747713
2,1560,0.04697789
2,1575,0.04647842
2,1590,0.04597886
2,1605,0.04547931
2,1620,0.0449799
2,1635,0.04448074
2,1650,0.04398195
2,1665,0.04348366
2,1680,0.042986
2,1695,0.04248909
2,1710,0.04199305
2,1725,0.04149801
2,1740,0.04100408
2,1755,0.04051141
2,1770,0.04002009
2,1785,0.03953027
2,1800,0.03904204
2,1815,0.03855554
2,1830,0.03807087
2,1845,0.03758815
2,1860,0.03710748
2,1875,0.03662898
2,1890,0.03615275
2,1905,0.03567889
2,1920,0.0352075
3,0,0
3,3,9.634687E-06
3,6,0.0003260643
3,9,0.002032841
3,12,0.006891218
3,15,0.01691394
3,18,0.03386515
3,21,0.05889025
3,24,0.09234168
3,27,0.1337772
3,30,0.1820779
3,33,0.2356399
3,36,0.2925906
3,39,0.3509928
3,42,0.4090084
3,45,0.4650124
3,48,0.5176601
3,51,0.5659137
3,54,0.6090389
3,57,0.6465822
3,60,0.6783356
3,63,0.7042961
3,66,0.7246246
3,69,0.7396071
3,72,0.7496188
3,75,0.7550938
3,78,0.7565
3,81,0.7543179
3,84,0.7490247
3,87,0.7410818
3,90,0.7309262
3,93,0.7189639
3,96,0.7055668
3,99,0.6910701
3,102,0.6757724
3,105,0.659936
3,108,0.6437883
3,111,0.6275241
3,114,0.6113076
3,117,0.5952753
3,120,0.5795388
3,135,0.5077639
3,150,0.4500375
3,165,0.4056894
3,180,0.3719686
3,195,0.3459728
3,210,0.3253465
3,225,0.308393
3,240,0.2939687
3,255,0.28133
3,270,0.2700019
3,285,0.2596801
3,300,0.2501664
3,315,0.241328
3,330,0.2330716
3,345,0.2253286
3,360,0.2180462
3,375,0.2111818
3,390,0.2046998
3,405,0.1985693
3,420,0.1927635
3,435,0.1872584
3,450,0.1820323
3,465,0.1770654
3,480,0.1723399
3,495,0.1678392
3,510,0.1635483
3,525,0.1594534
3,540,0.1555417
3,555,0.1518016
3,570,0.1482227
3,585,0.1447952
3,600,0.1415103
3,615,0.1383601
3,630,0.1353371
3,645,0.1324347
3,660,0.1296466
3,675,0.1269672
3,690,0.1243912
3,705,0.1219134
3,720,0.1195291
3,735,0.1172338
3,750,0.1150232
3,765,0.112893
3,780,0.1108393
3,795,0.108858
3,810,0.1069456
3,825,0.1050983
3,840,0.1033128
3,855,0.1015855
3,870,0.09991342
3,885,0.09829337
3,900,0.09672245
3,915,0.09519789
3,930,0.09371701
3,945,0.09227731
3,960,0.0908764
3,975,0.08951203
3,990,0.08818208
3,1005,0.08688453
3,1020,0.08561751
3,1035,0.08437926
3,1050,0.08316808
3,1065,0.08198246
3,1080,0.0808209
3,1095,0.07968206
3,1110,0.07856466
3,1125,0.07746752
3,1140,0.07638952
3,1155,0.07532964
3,1170,0.07428692
3,1185,0.07326047
3,1200,0.07224947
3,1215,0.07125315
3,1230,0.07027081
3,1245,0.0693018
3,1260,0.06834551
3,1275,0.06740139
3,1290,0.06646892
3,1305,0.06554766
3,1320,0.06463716
3,1335,0.06373703
3,1350,0.06284691
3,1365,0.06196648
3,1380,0.06109544
3,1395,0.06023351
3,1410,0.05938047
3,1425,0.05853608
3,1440,0.05770014
3,1455,0.05687248
3,1470,0.05605294
3,1485,0.05524137
3,1500,0.05443765
3,1515,0.05364166
3,1530,0.05285331
3,1545,0.05207251
3,1560,0.05129918
3,1575,0.05053326
3,1590,0.0497747
3,1605,0.04902343
3,1620,0.04827942
3,1635,0.04754264
3,1650,0.04681305
3,1665,0.04609064
3,1680,0.04537538
3,1695,0.04466726
3,1710,0.04396627
3,1725,0.04327239
3,1740,0.04258563
3,1755,0.04190597
3,1770,0.04123342
3,1785,0.04056797
3,1800,0.03990963
3,1815,0.03925838
3,1830,0.03861424
3,1845,0.0379772
3,1860,0.03734726
3,1875,0.03672443
3,1890,0.0361087
3,1905,0.03550007
3,1920,0.03489853
4,0,0
4,3,5.679102E-06
4,6,0.0002372072
4,9,0.001622048
4,12,0.005825191
4,15,0.01497077
4,18,0.0312373
4,21,0.05646031
4,24,0.09184474
4,27,0.1378208
4,30,0.1940387
4,33,0.2594708
4,36,0.3325824
4,39,0.4115287
4,42,0.4943443
4,45,0.5790982
4,48,0.6640052
4,51,0.747497
4,54,0.8282562
4,57,0.9052251
4,60,0.9775949
4,63,1.044784
4,66,1.106413
4,69,1.162271
4,72,1.212293
4,75,1.256526
4,78,1.295111
4,81,1.328258
4,84,1.356227
4,87,1.379317
4,90,1.397848
4,93,1.412152
4,96,1.42257
4,99,1.429435
4,102,1.433076
4,105,1.433812
4,108,1.431945
4,111,1.427763
4,114,1.421536
4,117,1.413517
4,120,1.40394
4,135,1.339631
4,150,1.261719
4,165,1.182367
4,180,1.107769
4,195,1.04044
4,210,0.9808405
4,225,0.9284234
4,240,0.882243
4,255,0.8412843
4,270,0.8046183
4,285,0.7714595
4,300,0.7411736
4,315,0.713262
4,330,0.6873379
4,345,0.6631039
4,360,0.6403302
4,375,0.6188383
4,390,0.598488
4,405,0.5791672
4,420,0.5607849
4,435,0.5432653
4,450,0.526545
4,465,0.5105687
4,480,0.4952885
4,495,0.4806617
4,510,0.46665
4,525,0.4532185
4,540,0.4403354
4,555,0.4279714
4,570,0.4160996
4,585,0.4046949
4,600,0.393734
4,615,0.3831954
4,630,0.3730589
4,645,0.3633059
4,660,0.3539189
4,675,0.3448814
4,690,0.3361781
4,705,0.3277946
4,720,0.3197174
4,735,0.3119335
4,750,0.3044307
4,765,0.2971972
4,780,0.290222
4,795,0.2834943
4,810,0.2770037
4,825,0.2707404
4,840,0.2646948
4,855,0.2588578
4,870,0.2532203
4,885,0.2477738
4,900,0.2425101
4,915,0.2374213
4,930,0.2324996
4,945,0.2277377
4,960,0.2231286
4,975,0.2186656
4,990,0.214342
4,1005,0.2101518
4,1020,0.2060889
4,1035,0.2021477
4,1050,0.1983227
4,1065,0.1946087
4,1080,0.1910008
4,1095,0.1874943
4,1110,0.1840846
4,1125,0.1807675
4,1140,0.1775389
4,1155,0.1743948
4,1170,0.1713316
4,1185,0.1683457
4,1200,0.1654339
4,1215,0.1625928
4,1230,0.1598196
4,1245,0.1571112
4,1260,0.1544651
4,1275,0.1518786
4,1290,0.1493492
4,1305,0.1468746
4,1320,0.1444527
4,1335,0.1420812
4,1350,0.1397583
4,1365,0.1374821
4,1380,0.1352507
4,1395,0.1330625
4,1410,0.1309159
4,1425,0.1288094
4,1440,0.1267415
4,1455,0.1247109
4,1470,0.1227163
4,1485,0.1207565
4,1500,0.1188303
4,1515,0.1169367
4,1530,0.1150746
4,1545,0.1132431
4,1560,0.1114413
4,1575,0.1096682
4,1590,0.107923
4,1605,0.106205
4,1620,0.1045135
4,1635,0.1028477
4,1650,0.101207
4,1665,0.09959082
4,1680,0.09799848
4,1695,0.09642946
4,1710,0.09488323
4,1725,0.0933593
4,1740,0.09185719
4,1755,0.09037645
4,1770,0.08891666
4,1785,0.08747741
4,1800,0.08605832
4,1815,0.08465902
4,1830,0.08327916
4,1845,0.08191842
4,1860,0.08057647
4,1875,0.07925303
4,1890,0.0779478
4,1905,0.07666051
4,1920,0.07539089
5,0,0
5,3,4.019514E-05
5,6,0.00149164
5,9,0.009256104
5,12,0.03029566
5,15,0.07159186
5,18,0.1386476
5,21,0.234384
5,24,0.3585823
5,27,0.5079632
5,30,0.6768005
5,33,0.8578407
5,36,1.043296
5,39,1.225727
5,42,1.398688
5,45,1.557095
5,48,1.69737
5,51,1.817387
5,54,1.916301
5,57,1.99431
5,60,2.052404
5,63,2.092121
5,66,2.115333
5,69,2.124077
5,72,2.120424
5,75,2.106383
5,78,2.083841
5,81,2.054515
5,84,2.019933
5,87,1.981432
5,90,1.940157
5,93,1.897075
5,96,1.852991
5,99,1.808559
5,102,1.764305
5,105,1.720644
5,108,1.677895
5,111,1.636294
5,114,1.596011
5,117,1.557161
5,120,1.519814
5,135,1.355941
5,150,1.226565
5,165,1.124042
5,180,1.041088
5,195,0.9721172
5,210,0.9131767
5,225,0.8615561
5,240,0.8154119
5,255,0.7734859
5,270,0.7349104
5,285,0.699078
5,300,0.665556
5,315,0.6340297
5,330,0.6042655
5,345,0.5760855
5,360,0.5493509
5,375,0.5239507
5,390,0.4997935
5,405,0.4768022
5,420,0.4549098
5,435,0.4340571
5,450,0.4141904
5,465,0.3952606
5,480,0.3772218
5,495,0.3600311
5,510,0.3436478
5,525,0.3280336
5,540,0.3131518
5,555,0.2989679
5,570,0.2854485
5,585,0.2725622
5,600,0.2602789
5,615,0.24857
5,630,0.2374081
5,645,0.2267672
5,660,0.2166227
5,675,0.2069507
5,690,0.197729
5,705,0.188936
5,720,0.1805513
5,735,0.1725556
5,750,0.1649303
5,765,0.1576579
5,780,0.1507215
5,795,0.1441052
5,810,0.1377938
5,825,0.1317728
5,840,0.1260285
5,855,0.1205476
5,870,0.1153178
5,885,0.1103271
5,900,0.1055643
5,915,0.1010184
5,930,0.09667936
5,945,0.09253731
5,960,0.08858298
5,975,0.08480751
5,990,0.08120248
5,1005,0.07775987
5,1020,0.07447204
5,1035,0.07133172
5,1050,0.06833202
5,1065,0.06546631
5,1080,0.06272835
5,1095,0.06011216
5,1110,0.05761207
5,1125,0.05522265
5,1140,0.05293877
5,1155,0.05075552
5,1170,0.04866823
5,1185,0.04667246
5,1200,0.04476397
5,1215,0.04293875
5,1230,0.04119295
5,1245,0.03952291
5,1260,0.03792517
5,1275,0.03639641
5,1290,0.03493347
5,1305,0.03353336
5,1320,0.0321932
5,1335,0.03091028
5,1350,0.029682
5,1365,0.02850589
5,1380,0.02737959
5,1395,0.02630085
5,1410,0.02526755
5,1425,0.02427764
5,1440,0.02332918
5,1455,0.02242033
5,1470,0.02154931
5,1485,0.02071445
5,1500,0.01991415
5,1515,0.01914688
5,1530,0.01841118
5,1545,0.01770567
5,1560,0.01702902
5,1575,0.01637998
5,1590,0.01575734
5,1605,0.01515995
5,1620,0.01458672
5,1635,0.0140366
5,1650,0.0135086
5,1665,0.01300176
5,1680,0.01251519
5,1695,0.01204801
5,1710,0.01159939
5,1725,0.01116856
5,1740,0.01075475
5,1755,0.01035726
5,1770,0.009975377
5,1785,0.009608465
5,1800,0.009255893
5,1815,0.008917062
5,1830,0.0085914
5,1845,0.008278362
5,1860,0.007977427
5,1875,0.007688095
5,1890,0.007409889
5,1905,0.007142354
5,1920,0.006885055
6,0,0
6,3,4.857042E-06
6,6,0.0001966504
6,9,0.001298688
6,12,0.00448089
6,15,0.0111105
