"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,1656,3.006398
0,1662,2.961757
0,1668,2.915128
0,1674,2.867274
0,1680,2.818838
0,1686,2.770343
0,1692,2.722205
0,1698,2.674746
0,1704,2.628203
0,1710,2.582747
0,1716,2.53849
0,1722,2.495498
0,1728,2.453802
0,1734,2.413405
0,1740,2.374288
0,1746,2.336418
0,1752,2.299753
0,1758,2.264241
0,1764,2.229829
0,1770,2.19646
0,1776,2.16408
0,1782,2.132632
0,1788,2.102064
0,1794,2.072326
0,1800,2.043369
0,1806,2.015148
0,1812,1.987622
0,1818,1.960751
0,1824,1.934499
0,1830,1.908832
0,1836,1.883719
0,1842,1.859133
0,1848,1.835047
0,1854,1.811437
0,1860,1.78828
0,1866,1.765557
0,1872,1.743249
0,1878,1.721338
0,1884,1.699809
0,1890,1.678647
0,1896,1.657838
0,1902,1.637371
0,1908,1.617233
0,1914,1.597413
0,1920,1.577902
0,1926,1.55869
0,1932,1.539769
0,1938,1.52113
0,1944,1.502766
0,1950,1.48467
0,1956,1.466835
0,1962,1.449255
0,1968,1.431923
0,1974,1.414834
0,1980,1.397982
0,1986,1.381364
0,1992,1.364972
0,1998,1.348804
0,2004,1.332855
0,2010,1.317119
0,2016,1.301594
0,2022,1.286276
0,2028,1.27116
0,2034,1.256243
0,2040,1.241522
0,2046,1.226993
0,2052,1.212653
0,2058,1.198499
0,2064,1.184528
0,2070,1.170737
0,2076,1.157123
0,2082,1.143684
0,2088,1.130416
0,2094,1.117317
0,2100,1.104385
0,2106,1.091617
0,2112,1.07901
0,2118,1.066563
0,2124,1.054273
0,2130,1.042138
0,2136,1.030154
0,2142,1.018322
0,2148,1.006637
0,2154,0.9950992
0,2160,0.9837052
0,2166,0.9724534
0,2172,0.9613417
0,2178,0.9503685
0,2184,0.9395316
0,2190,0.9288294
0,2196,0.91826
0,2202,0.9078217
0,2208,0.8975127
0,2214,0.8873312
0,2220,0.8772756
0,2226,0.8673443
0,2232,0.8575355
0,2238,0.8478478
0,2244,0.8382794
0,2250,0.8288289
0,2256,0.8194948
0,2262,0.8102755
0,2268,0.8011695
0,2274,0.7921754
0,2280,0.7832917
0,2286,0.774517
0,2292,0.7658499
0,2298,0.7572891
0,2304,0.7488331
0,2310,0.7404806
0,2316,0.7322303
0,2322,0.7240809
0,2328,0.7160311
0,2334,0.7080798
0,2340,0.7002254
0,2346,0.6924669
0,2352,0.6848031
0,2358,0.6772327
0,2364,0.6697545
0,2370,0.6623674
0,2376,0.6550703
0,2382,0.647862
0,2388,0.6407412
0,2394,0.6337071
0,2400,0.6267585
0,2406,0.6198942
0,2412,0.6131132
0,2418,0.6064146
0,2424,0.5997971
0,2430,0.5932599
0,2436,0.5868018
0,2442,0.580422
0,2448,0.5741194
0,2454,0.567893
0,2460,0.5617419
0,2466,0.5556651
0,2472,0.5496617
0,2478,0.5437308
0,2484,0.5378715
0,2490,0.5320828
0,2496,0.5263639
0,2502,0.5207139
0,2508,0.515132
0,2514,0.5096171
0,2520,0.5041687
0,2526,0.4987857
0,2532,0.4934674
0,2538,0.488213
0,2544,0.4830216
0,2550,0.4778925
0,2556,0.4728249
0,2562,0.4678181
0,2568,0.4628711
0,2574,0.4579834
0,2580,0.4531541
0,2586,0.4483826
0,2592,0.443668
0,2598,0.4390097
0,2604,0.434407
0,2610,0.4298592
0,2616,0.4253656
0,2622,0.4209255
0,2628,0.4165382
0,2634,0.4122032
0,2640,0.4079196
0,2646,0.4036869
0,2652,0.3995045
0,2658,0.3953717
0,2664,0.3912878
0,2670,0.3872524
0,2676,0.3832647
0,2682,0.3793242
0,2688,0.3754302
0,2694,0.3715823
0,2700,0.3677797
0,2706,0.364022
0,2712,0.3603087
0,2718,0.356639
0,2724,0.3530125
0,2730,0.3494287
