"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.004603437
0,6,0.0884366
0,9,0.3664461
0,12,0.8920126
0,15,1.665233
0,18,2.654986
0,21,3.815798
0,24,5.098794
0,27,6.457929
0,30,7.852988
0,33,9.250599
0,36,10.62408
0,39,11.95281
0,42,13.22137
0,45,14.41859
0,48,15.53677
0,51,16.57097
0,54,17.51845
0,57,18.37828
0,60,19.151
0,63,19.83836
0,66,20.44309
0,69,20.96881
0,72,21.41981
0,75,21.80097
0,78,22.11753
0,81,22.37503
0,84,22.57915
0,87,22.73553
0,90,22.8497
0,93,22.92698
0,96,22.97236
0,99,22.9905
0,102,22.98571
0,105,22.96189
0,108,22.92256
0,111,22.87084
0,114,22.80948
0,117,22.74086
0,120,22.66702
0,135,22.27073
0,150,21.90195
0,165,21.59098
0,180,21.32841
0,195,21.09693
0,210,20.88334
0,225,20.67982
0,240,20.48227
0,255,20.28868
0,270,20.09809
0,285,19.91006
0,300,19.72441
0,315,19.54106
0,330,19.36002
0,345,19.18129
0,360,19.00488
0,375,18.83081
0,390,18.65908
0,405,18.48969
0,420,18.32264
0,435,18.15789
0,450,17.99545
0,465,17.83527
0,480,17.67734
0,495,17.52161
0,510,17.36806
0,525,17.21664
0,540,17.06732
0,555,16.92006
0,570,16.77483
0,585,16.63157
0,600,16.49024
0,615,16.35081
0,630,16.21324
0,645,16.07748
0,660,15.9435
0,675,15.81125
0,690,15.68069
0,705,15.5518
0,720,15.42451
0,735,15.29881
0,750,15.17465
0,765,15.05199
0,780,14.9308
0,795,14.81105
0,810,14.6927
0,825,14.57572
0,840,14.46007
0,855,14.34572
0,870,14.23264
0,885,14.1208
0,900,14.01017
0,915,13.90073
0,930,13.79243
0,945,13.68526
0,960,13.57918
0,975,13.47418
0,990,13.37021
0,1005,13.26727
0,1020,13.16533
0,1035,13.06435
0,1050,12.96432
0,1065,12.86522
0,1080,12.76703
0,1095,12.66971
0,1110,12.57326
0,1125,12.47765
0,1140,12.38287
0,1155,12.28889
0,1170,12.19569
0,1185,12.10327
0,1200,12.0116
0,1215,11.92066
0,1230,11.83044
0,1245,11.74093
0,1260,11.6521
0,1275,11.56395
0,1290,11.47647
0,1305,11.38962
0,1320,11.30342
0,1335,11.21783
0,1350,11.13286
0,1365,11.04849
0,1380,10.9647
0,1395,10.88149
0,1410,10.79884
0,1425,10.71675
0,1440,10.63521
0,1455,10.55421
0,1470,10.47374
0,1485,10.39378
0,1500,10.31434
0,1515,10.2354
0,1530,10.15696
0,1545,10.07901
0,1560,10.00155
0,1575,9.924556
0,1590,9.848035
0,1605,9.771979
0,1620,9.696382
0,1635,9.621237
0,1650,9.546539
0,1665,9.472285
0,1680,9.398469
0,1695,9.325086
0,1710,9.252132
0,1725,9.179604
0,1740,9.107495
0,1755,9.035805
0,1770,8.964528
0,1785,8.893662
0,1800,8.823203
0,1815,8.753148
0,1830,8.683494
0,1845,8.614239
0,1860,8.545379
0,1875,8.476912
0,1890,8.408837
0,1905,8.341151
0,1920,8.273852
0,1935,8.206937
0,1950,8.140406
0,1965,8.074255
0,1980,8.008483
0,1995,7.94309
0,2010,7.878073
0,2025,7.81343
0,2040,7.749162
0,2055,7.685266
0,2070,7.62174
0,2085,7.558585
0,2100,7.495798
0,2115,7.433379
0,2130,7.371327
0,2145,7.309641
0,2160,7.248321
0,2175,7.187364
0,2190,7.12677
0,2205,7.06654
0,2220,7.00667
0,2235,6.947163
0,2250,6.888016
0,2265,6.829228
0,2280,6.7708
0,2295,6.712731
0,2310,6.655019
0,2325,6.597665
0,2340,6.540668
0,2355,6.484027
0,2370,6.427742
0,2385,6.371812
0,2400,6.316236
0,2415,6.261015
0,2430,6.206147
