"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
61,12510,19.60655
61,12525,19.59417
61,12540,19.58179
61,12555,19.56942
61,12570,19.55706
61,12585,19.54471
61,12600,19.53236
61,12615,19.52002
61,12630,19.50769
61,12645,19.49537
61,12660,19.48305
61,12675,19.47075
61,12690,19.45845
61,12705,19.44615
61,12720,19.43387
61,12735,19.42159
61,12750,19.40933
61,12765,19.39706
61,12780,19.38481
61,12795,19.37257
61,12810,19.36033
61,12825,19.3481
61,12840,19.33588
61,12855,19.32366
61,12870,19.31146
61,12885,19.29926
61,12900,19.28707
61,12915,19.27489
61,12930,19.26271
61,12945,19.25054
61,12960,19.23838
61,12975,19.22623
61,12990,19.21408
61,13005,19.20195
61,13020,19.18982
61,13035,19.17769
61,13050,19.16558
61,13065,19.15347
61,13080,19.14137
61,13095,19.12928
61,13110,19.1172
61,13125,19.10513
61,13140,19.09306
61,13155,19.081
61,13170,19.06894
61,13185,19.0569
61,13200,19.04486
61,13215,19.03283
61,13230,19.02081
61,13245,19.00879
61,13260,18.99678
61,13275,18.98479
61,13290,18.97279
61,13305,18.96081
61,13320,18.94883
61,13335,18.93686
61,13350,18.9249
61,13365,18.91294
61,13380,18.901
61,13395,18.88906
61,13410,18.87713
61,13425,18.8652
61,13440,18.85329
61,13455,18.84138
61,13470,18.82948
61,13485,18.81758
61,13500,18.80569
61,13515,18.79382
61,13530,18.78194
61,13545,18.77008
61,13560,18.75822
61,13575,18.74638
61,13590,18.73453
61,13605,18.7227
61,13620,18.71087
61,13635,18.69905
61,13650,18.68724
61,13665,18.67544
61,13680,18.66364
61,13695,18.65185
61,13710,18.64007
61,13725,18.6283
61,13740,18.61653
61,13755,18.60477
61,13770,18.59302
61,13785,18.58127
61,13800,18.56954
61,13815,18.55781
61,13830,18.54609
61,13845,18.53437
61,13860,18.52266
61,13875,18.51096
61,13890,18.49927
61,13905,18.48758
61,13920,18.47591
61,13935,18.46424
61,13950,18.45257
61,13965,18.44092
61,13980,18.42927
61,13995,18.41763
61,14010,18.40599
61,14025,18.39437
61,14040,18.38275
61,14055,18.37114
61,14070,18.35953
61,14085,18.34793
61,14100,18.33635
61,14115,18.32476
61,14130,18.31319
61,14145,18.30162
61,14160,18.29006
61,14175,18.27851
61,14190,18.26696
61,14205,18.25542
61,14220,18.24389
61,14235,18.23237
61,14250,18.22085
61,14265,18.20934
61,14280,18.19784
61,14295,18.18634
61,14310,18.17486
61,14325,18.16338
61,14340,18.1519
61,14355,18.14044
61,14370,18.12898
61,14385,18.11753
61,14400,18.10608
61,14415,18.09465
61,14430,18.08322
61,14445,18.07179
61,14460,18.06038
61,14475,18.04897
61,14490,18.03757
61,14505,18.02618
61,14520,18.01479
61,14535,18.00341
