"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
2,30,0.006614698
2,33,0.00910644
2,36,0.01205069
2,39,0.01543102
2,42,0.01921879
2,45,0.02337536
2,48,0.02785441
2,51,0.03260415
2,54,0.03756948
2,57,0.04269383
2,60,0.04792086
2,63,0.05319586
2,66,0.05846687
2,69,0.0636856
2,72,0.06880806
2,75,0.07379496
2,78,0.078612
2,81,0.08322993
2,84,0.08762448
2,87,0.09177619
2,90,0.09567022
2,93,0.09929595
2,96,0.1026467
2,99,0.1057194
2,102,0.1085139
2,105,0.1110331
2,108,0.1132822
2,111,0.1152683
2,114,0.1170003
2,117,0.1184884
2,120,0.1197438
2,135,0.1229706
2,150,0.1223004
2,165,0.119219
2,180,0.1148929
2,195,0.1101304
2,210,0.1054308
2,225,0.1010611
2,240,0.097132
2,255,0.09366056
2,270,0.09061433
2,285,0.08794004
2,300,0.08558013
2,315,0.08348113
2,330,0.08159714
2,345,0.07989047
2,360,0.07833103
2,375,0.07689512
2,390,0.07556423
2,405,0.07432388
2,420,0.07316271
2,435,0.07207172
2,450,0.07104367
2,465,0.07007268
2,480,0.06915388
2,495,0.06828319
2,510,0.06745711
2,525,0.0666726
2,540,0.065927
2,555,0.06521793
2,570,0.06454325
2,585,0.06390101
2,600,0.0632894
2,615,0.06270676
2,630,0.06215155
2,645,0.06162231
2,660,0.06111768
2,675,0.06063636
2,690,0.06017712
2,705,0.0597388
2,720,0.05932028
2,735,0.0589205
2,750,0.05853844
2,765,0.05817313
2,780,0.05782363
2,795,0.05748904
2,810,0.05716851
2,825,0.05686121
2,840,0.05656633
2,855,0.05628312
2,870,0.05601084
2,885,0.05574878
2,900,0.05549627
2,915,0.05525265
2,930,0.0550173
2,945,0.05478961
2,960,0.054569
2,975,0.05435493
2,990,0.05414686
2,1005,0.05394427
2,1020,0.05374669
2,1035,0.05355364
2,1050,0.05336468
2,1065,0.05317937
2,1080,0.05299732
2,1095,0.05281812
2,1110,0.05264142
2,1125,0.05246685
2,1140,0.05229408
2,1155,0.05212278
2,1170,0.05195265
2,1185,0.05178341
2,1200,0.05161477
2,1215,0.05144648
2,1230,0.05127829
2,1245,0.05110997
