"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,3.992503E-06
0,12,0.0004089747
0,18,0.005274044
0,24,0.02691522
0,30,0.08324951
0,36,0.1895671
0,42,0.3524685
0,48,0.5689712
0,54,0.8291603
0,60,1.119789
0,66,1.427213
0,72,1.739141
0,78,2.045392
0,84,2.338001
0,90,2.610992
0,96,2.860051
0,102,3.0822
0,108,3.275545
0,114,3.439102
0,120,3.572691
0,126,3.676881
0,132,3.752945
0,138,3.802819
0,144,3.829017
0,150,3.834512
0,156,3.822574
0,162,3.796582
0,168,3.759841
0,174,3.715422
0,180,3.666045
0,186,3.614006
0,192,3.561157
0,198,3.508919
0,204,3.458325
0,210,3.410076
0,216,3.364602
0,222,3.322117
0,228,3.282681
0,234,3.246235
0,240,3.212646
0,246,3.181732
0,252,3.153284
0,258,3.127083
0,264,3.102908
0,270,3.080551
0,276,3.059811
0,282,3.040508
0,288,3.022474
0,294,3.00556
0,300,2.989633
0,306,2.974576
0,312,2.960285
0,318,2.94667
0,324,2.933651
0,330,2.921159
0,336,2.909135
0,342,2.897525
0,348,2.886286
0,354,2.875377
0,360,2.864764
0,366,2.854418
0,372,2.844313
0,378,2.834425
0,384,2.824736
0,390,2.815227
0,396,2.805884
0,402,2.796692
0,408,2.78764
0,414,2.778717
0,420,2.769914
0,426,2.761222
0,432,2.752634
0,438,2.744142
0,444,2.735741
0,450,2.727425
0,456,2.719189
0,462,2.711029
0,468,2.70294
0,474,2.694918
0,480,2.68696
0,486,2.679064
0,492,2.671225
0,498,2.663441
0,504,2.655711
0,510,2.648031
0,516,2.640399
0,522,2.632814
0,528,2.625274
0,534,2.617777
0,540,2.610322
0,546,2.602907
0,552,2.595531
0,558,2.588193
0,564,2.580892
0,570,2.573626
0,576,2.566395
0,582,2.559197
0,588,2.552033
0,594,2.544901
0,600,2.5378
0,606,2.53073
0,612,2.52369
0,618,2.516679
0,624,2.509698
0,630,2.502745
0,636,2.49582
0,642,2.488922
0,648,2.482051
0,654,2.475207
0,660,2.46839
0,666,2.461598
0,672,2.454832
0,678,2.448091
0,684,2.441375
0,690,2.434684
0,696,2.428017
0,702,2.421374
0,708,2.414756
0,714,2.40816
0,720,2.401588
0,726,2.39504
0,732,2.388515
0,738,2.382012
0,744,2.375531
0,750,2.369074
0,756,2.362638
0,762,2.356225
0,768,2.349833
0,774,2.343464
0,780,2.337116
0,786,2.330789
0,792,2.324484
0,798,2.3182
0,804,2.311937
0,810,2.305695
0,816,2.299474
0,822,2.293273
0,828,2.287093
0,834,2.280933
0,840,2.274793
0,846,2.268674
0,852,2.262575
0,858,2.256496
0,864,2.250437
0,870,2.244397
0,876,2.238377
0,882,2.232376
0,888,2.226395
0,894,2.220434
0,900,2.214491
0,906,2.208568
0,912,2.202663
0,918,2.196778
0,924,2.190911
0,930,2.185064
0,936,2.179234
