"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,3765,3.611315
0,3780,3.585625
0,3795,3.560079
0,3810,3.534676
0,3825,3.509417
0,3840,3.484302
0,3855,3.45933
0,3870,3.434501
0,3885,3.409816
0,3900,3.385273
0,3915,3.360874
0,3930,3.336617
0,3945,3.312503
0,3960,3.288531
0,3975,3.264701
0,3990,3.241013
0,4005,3.217467
0,4020,3.194062
0,4035,3.170798
0,4050,3.147675
0,4065,3.124693
0,4080,3.101851
0,4095,3.079149
0,4110,3.056586
0,4125,3.034163
0,4140,3.011879
0,4155,2.989733
0,4170,2.967726
0,4185,2.945857
0,4200,2.924125
0,4215,2.90253
0,4230,2.881072
0,4245,2.859751
0,4260,2.838565
0,4275,2.817515
0,4290,2.7966
0,4305,2.775819
0,4320,2.755173
0,4335,2.73466
0,4350,2.714281
0,4365,2.694035
0,4380,2.67392
0,4395,2.653938
0,4410,2.634087
0,4425,2.614367
0,4440,2.594777
0,4455,2.575317
0,4470,2.555987
0,4485,2.536785
0,4500,2.517712
0,4515,2.498766
0,4530,2.479948
0,4545,2.461256
0,4560,2.442691
0,4575,2.424251
0,4590,2.405936
0,4605,2.387746
0,4620,2.36968
0,4635,2.351737
0,4650,2.333917
0,4665,2.31622
0,4680,2.298644
0,4695,2.281189
0,4710,2.263855
0,4725,2.246641
0,4740,2.229547
0,4755,2.212571
0,4770,2.195713
0,4785,2.178973
0,4800,2.162351
0,4815,2.145844
0,4830,2.129454
0,4845,2.113179
0,4860,2.097019
0,4875,2.080972
0,4890,2.06504
0,4905,2.04922
0,4920,2.033512
0,4935,2.017917
0,4950,2.002432
0,4965,1.987058
0,4980,1.971794
0,4995,1.956638
0,5010,1.941592
0,5025,1.926654
0,5040,1.911823
0,5055,1.897099
0,5070,1.882482
0,5085,1.86797
0,5100,1.853563
0,5115,1.83926
0,5130,1.825062
0,5145,1.810966
0,5160,1.796974
0,5175,1.783083
0,5190,1.769294
0,5205,1.755605
0,5220,1.742017
0,5235,1.728528
0,5250,1.715138
0,5265,1.701847
0,5280,1.688653
0,5295,1.675557
0,5310,1.662557
0,5325,1.649654
0,5340,1.636845
0,5355,1.624132
0,5370,1.611513
0,5385,1.598987
0,5400,1.586555
0,5415,1.574214
0,5430,1.561966
0,5445,1.549809
0,5460,1.537743
0,5475,1.525767
0,5490,1.51388
0,5505,1.502083
0,5520,1.490373
0,5535,1.478752
0,5550,1.467218
0,5565,1.45577
0,5580,1.444409
0,5595,1.433133
0,5610,1.421942
0,5625,1.410835
0,5640,1.399812
0,5655,1.388873
0,5670,1.378016
0,5685,1.367241
0,5700,1.356548
0,5715,1.345936
0,5730,1.335405
0,5745,1.324953
0,5760,1.314581
0,5775,1.304288
0,5790,1.294073
0,5805,1.283936
0,5820,1.273876
0,5835,1.263893
0,5850,1.253986
0,5865,1.244155
0,5880,1.234399
0,5895,1.224717
0,5910,1.21511
0,5925,1.205576
0,5940,1.196115
0,5955,1.186727
0,5970,1.177411
0,5985,1.168167
0,6000,1.158993
1,0,0
1,3,0.00153456
1,6,0.02875166
1,9,0.1214394
1,12,0.3039183
1,15,0.585713
1,18,0.9664627
1,21,1.439744
1,24,1.995768
1,27,2.623174
1,30,3.310142
1,33,4.045084
1,36,4.817023
1,39,5.615787
1,42,6.432104
1,45,7.257617
1,48,8.084851
1,51,8.907162
1,54,9.718659
1,57,10.51414
1,60,11.28901
1,63,12.03926
1,66,12.76139
1,69,13.45237
1,72,14.1097
1,75,14.7313
1,78,15.31562
1,81,15.86155
1,84,16.36849
1,87,16.8363
1,90,17.26527
1,93,17.65611
1,96,18.00989
1,99,18.32796
1,102,18.61193
1,105,18.86358
1,108,19.08484
1,111,19.27769
1,114,19.44414
1,117,19.58619
1,120,19.70579
1,135,20.02933
1,150,20.0306
1,165,19.84594
1,180,19.56342
1,195,19.23664
1,210,18.89563
1,225,18.55511
1,240,18.22083
1,255,17.89411
1,270,17.57462
1,285,17.26162
1,300,16.95445
1,315,16.65269
1,330,16.35608
1,345,16.06447
1,360,15.77779
1,375,15.49602
1,390,15.21912
1,405,14.94707
1,420,14.67987
1,435,14.41747
1,450,14.15984
1,465,13.90693
1,480,13.6587
1,495,13.41508
1,510,13.17602
1,525,12.94145
1,540,12.71131
1,555,12.48551
1,570,12.264
1,585,12.0467
1,600,11.83353
1,615,11.62443
1,630,11.41931
1,645,11.21811
1,660,11.02075
1,675,10.82716
1,690,10.63726
1,705,10.45099
1,720,10.26828
1,735,10.08906
1,750,9.913247
1,765,9.740792
1,780,9.571622
1,795,9.405672
1,810,9.242879
1,825,9.08318
1,840,8.926514
1,855,8.77282
1,870,8.622038
1,885,8.474111
1,900,8.328979
1,915,8.18659
1,930,8.046887
1,945,7.909816
1,960,7.775325
1,975,7.643361
1,990,7.513873
1,1005,7.386812
1,1020,7.262129
1,1035,7.139777
1,1050,7.019707
1,1065,6.901875
1,1080,6.786235
1,1095,6.672743
1,1110,6.561357
1,1125,6.452032
1,1140,6.344729
1,1155,6.239406
1,1170,6.136024
1,1185,6.034543
1,1200,5.934925
1,1215,5.837133
1,1230,5.741131
1,1245,5.646883
1,1260,5.554352
1,1275,5.463505
1,1290,5.374308
1,1305,5.286728
1,1320,5.200733
1,1335,5.116291
1,1350,5.03337
1,1365,4.951942
1,1380,4.871976
1,1395,4.793442
1,1410,4.716313
1,1425,4.64056
1,1440,4.566156
1,1455,4.493074
1,1470,4.421289
1,1485,4.350774
1,1500,4.281505
1,1515,4.213457
1,1530,4.146605
1,1545,4.080926
1,1560,4.016398
1,1575,3.952998
1,1590,3.890702
1,1605,3.829491
1,1620,3.769343
1,1635,3.710236
1,1650,3.652151
1,1665,3.595068
1,1680,3.538968
1,1695,3.48383
1,1710,3.429638
1,1725,3.376372
1,1740,3.324015
1,1755,3.272548
1,1770,3.221956
1,1785,3.172221
1,1800,3.123327
1,1815,3.075258
1,1830,3.027998
1,1845,2.981532
1,1860,2.935844
1,1875,2.890921
1,1890,2.846747
1,1905,2.803308
1,1920,2.760591
1,1935,2.718582
1,1950,2.677267
1,1965,2.636635
1,1980,2.596671
1,1995,2.557364
1,2010,2.518701
1,2025,2.480671
1,2040,2.443262
1,2055,2.406462
1,2070,2.37026
1,2085,2.334646
1,2100,2.299607
1,2115,2.265135
1,2130,2.231219
1,2145,2.197847
1,2160,2.165012
1,2175,2.132702
1,2190,2.100909
1,2205,2.069624
1,2220,2.038836
1,2235,2.008538
1,2250,1.978719
1,2265,1.949373
1,2280,1.920491
1,2295,1.892063
1,2310,1.864084
1,2325,1.836543
1,2340,1.809434
1,2355,1.782749
1,2370,1.756482
1,2385,1.730623
1,2400,1.705167
1,2415,1.680106
1,2430,1.655434
1,2445,1.631143
1,2460,1.607228
1,2475,1.583682
1,2490,1.560498
1,2505,1.53767
1,2520,1.515193
1,2535,1.49306
1,2550,1.471266
1,2565,1.449804
1,2580,1.42867
1,2595,1.407857
1,2610,1.387361
1,2625,1.367175
1,2640,1.347296
1,2655,1.327717
1,2670,1.308434
1,2685,1.289442
1,2700,1.270736
1,2715,1.252311
1,2730,1.234163
1,2745,1.216287
1,2760,1.198679
1,2775,1.181334
1,2790,1.164249
1,2805,1.147418
1,2820,1.130839
1,2835,1.114506
1,2850,1.098415
1,2865,1.082564
1,2880,1.066948
1,2895,1.051563
1,2910,1.036406
1,2925,1.021472
1,2940,1.00676
1,2955,0.9922637
1,2970,0.9779815
1,2985,0.9639094
1,3000,0.9500442
1,3015,0.9363826
1,3030,0.9229214
1,3045,0.9096576
1,3060,0.896588
1,3075,0.8837095
1,3090,0.8710194
1,3105,0.8585146
1,3120,0.8461923
1,3135,0.8340496
1,3150,0.8220838
1,3165,0.8102922
1,3180,0.7986721
1,3195,0.7872209
1,3210,0.7759359
1,3225,0.7648148
1,3240,0.7538549
1,3255,0.7430539
1,3270,0.7324092
1,3285,0.7219186
1,3300,0.7115797
1,3315,0.7013903
1,3330,0.691348
1,3345,0.6814507
1,3360,0.6716962
1,3375,0.6620824
1,3390,0.6526071
1,3405,0.6432683
1,3420,0.634064
1,3435,0.624992
1,3450,0.6160506
1,3465,0.6072377
1,3480,0.5985515
1,3495,0.58999
1,3510,0.5815514
1,3525,0.573234
1,3540,0.5650358
1,3555,0.5569552
1,3570,0.5489905
1,3585,0.5411399
1,3600,0.5334017
1,3615,0.5257744
1,3630,0.5182563
1,3645,0.5108457
1,3660,0.5035412
1,3675,0.4963412
1,3690,0.4892441
1,3705,0.4822485
1,3720,0.4753529
1,3735,0.4685558
1,3750,0.4618558
1,3765,0.4552515
1,3780,0.4487415
1,3795,0.4423245
1,3810,0.4359991
1,3825,0.429764
1,3840,0.4236178
1,3855,0.4175594
1,3870,0.4115874
1,3885,0.4057006
1,3900,0.3998977
1,3915,0.3941776
1,3930,0.3885391
1,3945,0.382981
1,3960,0.3775022
1,3975,0.3721014
1,3990,0.3667777
1,4005,0.3615299
1,4020,0.3563568
1,4035,0.3512575
1,4050,0.3462309
1,4065,0.341276
1,4080,0.3363917
1,4095,0.331577
1,4110,0.3268309
1,4125,0.3221525
1,4140,0.3175407
1,4155,0.3129947
1,4170,0.3085136
1,4185,0.3040963
1,4200,0.2997419
1,4215,0.2954496
1,4230,0.2912186
1,4245,0.2870479
1,4260,0.2829366
1,4275,0.2788839
1,4290,0.2748891
1,4305,0.2709512
1,4320,0.2670695
1,4335,0.2632432
1,4350,0.2594714
1,4365,0.2557535
1,4380,0.2520886
1,4395,0.248476
1,4410,0.2449149
1,4425,0.2414047
1,4440,0.2379446
1,4455,0.2345339
1,4470,0.2311719
1,4485,0.2278579
1,4500,0.2245912
1,4515,0.2213711
1,4530,0.2181971
